company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
858 therapeutics inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.b,Yes,ETX-19477; QPCT/L; METTL3; ADAR1,"PARG, Poly(ADP-ribose) glycohydrolase; QPCT/L; METTL3; ADAR1",oncology; immunology,enzyme; other; other; other,Phase 1; Preclinical; Preclinical; Preclinical,Yes,Discovering innovative small molecule therapeutics for the treatment of cancer,https://www.linkedin.com/company/858-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
ashvattha therapeutics llc,2025-10-14 13:00:29,No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,link known small molecule drugs to HDs for selective delivery,https://www.linkedin.com/company/ashvattha-therapeutics-inc,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,developing a nanomedicine therapeutic that traverses the blood-retinal barrier,https://www.globenewswire.com/news-release/2025/10/14/3166111/0/en/Ashvattha-Therapeutics-Appoints-Ophthalmology-Veteran-Robert-J-Dempsey-as-Interim-CEO-Following-Positive-Phase-2-Results-and-FDA-Alignment-on-Pivotal-Program.html
lykos therapeutics,2025-06-30 00:00:00,Yes,MDMA,"PTSD, Post-Traumatic Stress Disorder",CNS; mental health,other,Not specified,Yes,MDMA capsules to treat PTSD,https://www.statnews.com/2024/08/15/lykos-therapeutics-cuts-75-of-staff-after-fda-rejects-mdma-assisted-therapy/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"psychedelics, MDMA-assisted therapy",https://www.npr.org/sections/shots-health-news/2024/08/09/nx-s1-5068634/mdma-therapy-fda-decision-ptsd-psychedelic-treatment
rycarma therapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='endpts.com', port=443): ",No,ARM210; Rycals,"RyR, Ryanodine Receptor",cardiovascular; rare diseases; skeletal muscle diseases,ion channels,Phase 2,Yes,first-in-class small molecule therapeutics,https://www.linkedin.com/company/rycarma,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
beijing kanova biopharmaceutical co ltd,"Error: Connection failed - HTTPConnectionPool(host='en.kanovabiopharma.com', ",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,Yes,recombinant humanized monoclonal antibody against IL-25,https://pubmed.ncbi.nlm.nih.gov/39815604/,No,,,No,,,No,,,No,,,No,,,No,,,No,,
suzhou xinkanghe biomedical technology co ltd,"Error: Connection failed - HTTPConnectionPool(host='en.kanovabiopharma.com', ",Yes,Not specified,Not specified,oncology,Not specified,Not specified,No,,,No,,,Yes,Homo sapiens Interleukin-25 Proteins,https://patents.google.com/patent/CN112638940A/en,Yes,anti-IL-25 antibodies,https://patents.google.com/patent/CN112638940A/en,No,,,No,,,No,,,No,,,No,,,No,,,No,,
ausper biopharma co ltd,2025-05-28 12:20:06,No,AHB-137,"Disease Name, Chronic Hepatitis B",infectious diseases,other,Phase 3,No,,,No,,,No,,,Yes,therapeutic antibodies,https://www.ventureradar.com/organisation/Ausper%20Biopharma/5c31ed06-c14d-4d4a-960b-bba3c4bd2416,No,,,No,,,Yes,antisense oligonucleotide (ASO),https://www.prnewswire.com/news-releases/ausperbio-raises-50-million-in-series-b-to-advance-functional-cure-for-chronic-hepatitis-b-302467345.html,No,,,Yes,mRNA vaccines,https://www.ventureradar.com/organisation/Ausper%20Biopharma/5c31ed06-c14d-4d4a-960b-bba3c4bd2416,No,,,No,,
neonc technologies inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",No,NEO100; NEO212,Disease Name,oncology; central nervous system cancers,other,Phase 2,Yes,"NEO212 is NeOnc’s first oral chemical conjugated chemotherapy drug, uniquely combining Temozolomide (TMZ).",https://lnkd.in/gD6MUkyE,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
suzhou medilink therapeutics ltd,2024-01-02 09:00:00,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,Yes,highly specific c-Met antibody,https://www.prnewswire.com/news-releases/medilink-therapeutics-announces-worldwide-collaboration-and-license-agreement-with-roche-to-develop-next-generation-antibody-drug-conjugate-in-oncology-302024162.html,Yes,Antibody Drug Conjugates,https://www.linkedin.com/company/mltx,No,,,No,,,No,,,No,,,No,,,No,,
bioaegis therapeutics inc,Error: Connection failed - HTTPSConnectionPool(host='www.bioaegistherapeutics,No,rhu-pGSN,"NLRP3, NLR Family Pyrin Domain Containing 3",inflammatory diseases,cytokine,Phase 2,No,,,No,,,Yes,recombinant human plasma gelsolin (rhu-pGSN),https://www.linkedin.com/company/bioaegis-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
biosimilar solutions llc,Error: Connection failed - HTTPSConnectionPool(host='biosimilarsolutions.com',Yes,ADL-018,"IgE, Immunoglobulin E",immunology,other,Phase 3,No,,,No,,,Yes,recombinant proteins,https://ocyonbio.com/ocyonbio-announces-biosimilar-solutions-to-begin-gmp-manufacturing-in-puerto-rico/,Yes,"monoclonal antibodies (mammalian, microbial cell culture)",https://ocyonbio.com/ocyonbio-announces-biosimilar-solutions-to-begin-gmp-manufacturing-in-puerto-rico/,No,,,No,,,No,,,Yes,"gene therapy, biological products",https://ocyonbio.com/ocyonbio-announces-biosimilar-solutions-to-begin-gmp-manufacturing-in-puerto-rico/,Yes,Covid-19 vaccine,https://ocyonbio.com/ocyonbio-announces-biosimilar-solutions-to-begin-gmp-manufacturing-in-puerto-rico/,No,,,No,,
aeovian pharmaceuticals inc,2024-03-28 09:00:00,No,AV078,"mTORC1, Mechanistic Target of Rapamycin Complex 1",CNS; rare diseases,kinases,Phase 1,Yes,developing targeted and highly selective small molecules,https://www.aeovian.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
liquidia corp,2025-10-07 12:17:08,Yes,YUTREPIA; L606; Treprostinil Injection,"Disease Name, Pulmonary Arterial Hypertension; Disease Name, Pulmonary Hypertension Associated with Interstitial Lung Disease",cardiopulmonary diseases; rare diseases,other,Phase 3; Approved; Marketed,Yes,Treprostinil Injection,"https://www.linkedin.com/company/liquidia-corporation#:~:text=Liquidia%20Corporation%20is%20a%20biopharmaceutical,of%20its%20PRINT%C2%AE%20Technology.",No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
liquidia technologies inc,2025-10-07 12:17:08,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Liquidia has developed YUTREPIA™ (treprostinil) inhalation powder,https://www.linkedin.com/company/liquidia-corporation,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"Liquidia is also developing L606, an investigational liposomal formulation of treprostinil",https://www.linkedin.com/company/liquidia-corporation
transcend therapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",Yes,TSND-201,Monoamine Transporters,CNS,other,Phase 3,Yes,"TSND-201, a rapid-acting neuroplastogen, is a proprietary formulation of methylone",https://www.prnewswire.com/news-releases/transcend-therapeutics-receives-breakthrough-therapy-designation-for-tsnd-201-methylone-for-the-treatment-of-ptsd-302501928.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
ariceum therapeutics gmbh,"Error: Connection failed - HTTPSConnectionPool(host='tracxn.com', port=443): ",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,radiopharmaceutical products for the diagnosis and treatment of certain hard-to-treat cancers,https://www.prnewswire.com/news-releases/ariceum-therapeutics-and-eckert--ziegler-sign-global-supply-agreement-for-the-development-of-next-generation-radiotherapeutics-for-precision-cancer-treatments-302322822.html
ym biosciences inc. (inactive),Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,Yes,CYT387; idelalisib; simtuzumab,"JAK1, Janus Kinase 1; JAK2, Janus Kinase 2; LOXL2, Lysyl Oxidase-Like 2; PI3K delta, Phosphoinositide-3 Kinase Delta Isoform",oncology; hematology; inflammation; fibrotic diseases,kinases; enzyme; other,Phase 3; Phase 2,Yes,"CYT 387, a JAK 1/2 small molecule inhibitor",https://www.newswire.ca/news-releases/ym-biosciences-closes-us175-million-financing-539559901.html,No,,,No,,,Yes,"nimotuzumab, an EGFR-targeting Affinity-Optimized Antibody(TM)",https://www.newswire.ca/news-releases/ym-biosciences-closes-us175-million-financing-539559901.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,
elicera therapeutics ab,"Error: Connection failed - HTTPSConnectionPool(host='se.linkedin.com', port=4",Yes,ELC-301; ELC-100; ELC-201; ELC-401,B-cell lymphoma; Neuroendocrine tumors,oncology,immune checkpoint,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"CAR T-cell therapy, Oncolytic viruses, iTANK platform",https://www.elicera.com/,No,,,No,,,Yes,Oncolytic viruses,https://www.elicera.com/
aceragen inc,"Error: Connection failed - HTTPSConnectionPool(host='news.biobuzz.io', port=4",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
protego biopharma inc,"Error: Connection failed - HTTPSConnectionPool(host='www.biospace.com', port=",Yes,Not specified,Transthyretin Amyloidosis,rare diseases; degenerative diseases; cardiomyopathy; myopathy,enzyme,Preclinical,Yes,small molecule therapeutics,https://www.globenewswire.com/news-release/2021/11/17/2336493/0/en/Protego-Biopharma-Raises-51-Million-Series-A-Financing-to-Advance-the-Treatment-of-Protein-Misfolding-Diseases.html,No,,,Yes,protein misfolding diseases,https://www.globenewswire.com/news-release/2021/11/17/2336493/0/en/Protego-Biopharma-Raises-51-Million-Series-A-Financing-to-Advance-the-Treatment-of-Protein-Misfolding-Diseases.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
walden biosciences inc,2025-09-04 20:28:02,Yes,WAL0921,"suPAR, Soluble Urokinase-Type Plasminogen Activator Receptor",rare diseases; nephrology,cytokine,Phase 2,Yes,IND-ready small molecule that is designed to stabilize and restore the function of dynamin,https://www.globenewswire.com/news-release/2025/01/10/3007547/0/en/Walden-Biosciences-Highlights-2024-Accomplishments-and-2025-Priorities.html,No,,,No,,,Yes,humanized monoclonal antibody that inhibits suPAR,https://www.globenewswire.com/news-release/2025/01/10/3007547/0/en/Walden-Biosciences-Highlights-2024-Accomplishments-and-2025-Priorities.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,
noveome biotherapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='www.cbs42.com', port=443",No,ST266,Not specified,ophthalmology; CNS; pulmonary; gastrointestinal; dermatology,cytokine,Phase 2,No,,,No,,,Yes,multi-targeted secretome containing hundreds of biologically active proteins,https://noveome.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"multi-targeted secretome containing hundreds of biologically active proteins and other factors crucial to neuroprotection, the modulation of inflammation, cell recovery and healing",https://noveome.com/
anrs research center,"Error: Connection failed - HTTPSConnectionPool(host='www.glopid-r.org', port=",No,Not specified,Not specified,neurology,Not specified,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
tenaya therapeutics inc,2025-10-14 18:00:25,Yes,TN-201; TN-401; DWORF; TN-301,"MYBPC3, Myosin Binding Protein C3; PKP2, Plakophilin-2; SERCA2a, Sarcoplasmic/Endoplasmic Reticulum Ca2+ ATPase 2a; HDAC6, Histone Deacetylase 6",cardiovascular; rare diseases,other; other; enzyme; enzyme,Phase 1; IND-enabling; candidate selection; Phase 1,Yes,"TN-301, a small molecule for heart failure with preserved ejection fraction",https://www.marketbeat.com/instant-alerts/tenaya-therapeutics-inc-nasdaqtnya-given-average-recommendation-of-buy-by-analysts-2025-09-20/,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Gene Therapy for Cardiomyopathies,https://www.tenayatherapeutics.com/,No,,,No,,,No,,
windtree therapeutics inc,2025-09-02 13:00:00,Yes,Istaroxime; KL4 Surfactant; aPKCi Inhibitors,"SERCA2a, Sarcoplasmic/Endoplasmic Reticulum Calcium-ATPase 2a; Na+/K+-ATPase; Disease Name",cardiovascular; respiratory; oncology,enzyme; other; Not specified,Phase 2; Preclinical,Yes,"SERCA2a activators which activate SERCA2a. This research program is evaluating these preclinical product candidates, including oral and intravenous SERCA2a activator heart failure compounds.",https://windtreetx.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
artery therapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='www.nia.nih.gov', port=4",No,CS6253,"ABCA1, ATP Binding Cassette A1",neurology; Alzheimer's disease,other,Phase 1,No,,,Yes,novel peptide library is derived from ApoE,https://www.arterytx.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
arnatar therapeutics inc,2025-08-25 15:41:05,Yes,ART4; ART104; ART1,"JAG1, Jagged-1; AGT, Angiotensinogen",rare diseases; cardiovascular; liver; CNS; kidney,other; enzyme,Phase 1,No,,,No,,,Yes,upregulate protein expression,https://globalgenes.org/raredaily/arnatar-therapeutics-emerges-from-stealth-with-52-million-and-an-rpdd-for-alagille-syndrome-therapy/,No,,,No,,,No,,,Yes,antisense oligonucleotides (ASOs) and small interfering RNA (siRNA),https://www.linkedin.com/company/arnatar-therapeutics,No,,,No,,,No,,,No,,
alpheus medical inc,"Error: Connection failed - HTTPSConnectionPool(host='tcbmag.com', port=443): ",No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,oral 5-aminolevulinic acid (5-ALA),https://www.prnewswire.com/news-releases/alpheus-medical-raises-52m-in-series-b-round-to-advance-groundbreaking-glioblastoma-therapy-302455795.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,sonodynamic therapy (SDT),https://www.prnewswire.com/news-releases/alpheus-medical-raises-52m-in-series-b-round-to-advance-groundbreaking-glioblastoma-therapy-302455795.html
narrows institute for biomedical research inc,"Error: Connection failed - HTTPSConnectionPool(host='taggs.hhs.gov', port=443",No,Not specified,Not specified,infectious diseases,Not specified,Preclinical,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
35pharma inc,2024-11-26 00:00:00,Yes,HS235; HS370,"Activin x GDF, Growth Differentiation Factor",cardiometabolic diseases; pulmonary hypertension; obesity; heart failure,cytokine,Phase 1/II,No,,,No,,,Yes,protein engineering,https://www.globenewswire.com/news-release/2024/11/26/2987436/0/en/35Pharma-Closes-Series-C-Financing-to-Advance-Clinical-Pipeline-of-Activin-Inhibitors-for-Pulmonary-Hypertension-Cardiometabolic-Disease-and-Obesity.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,ligand traps,https://www.35pharma.com/
gt medical technologies inc,"Error: Connection failed - HTTPSConnectionPool(host='www.prnewswire.com', por",No,GammaTile,"Disease Name, Brain Tumors",oncology,other,Marketed,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"GammaTile is an FDA-cleared, bioabsorbable collagen implant embedded with radiation seeds",https://www.linkedin.com/company/gt-medical-technologies-inc
ixaka ltd,2021-02-19 00:00:00,No,REX-001,Chronic Limb-Threatening Ischemia,cardiovascular; diabetes,other,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,cell and gene therapy company,https://uk.linkedin.com/company/ixaka-limited,No,,,No,,,Yes,nanoparticle therapeutics,https://uk.linkedin.com/company/ixaka-limited
ixaka ltd (inactive),2021-02-19 00:00:00,Yes,REX-001,"Disease Name, Chronic Limb-Threatening Ischemia",cardiovascular; diabetes-related conditions,other,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,cell and gene therapy company,https://uk.linkedin.com/company/ixaka-limited,No,,,No,,,Yes,targeted nano-particles,https://uk.linkedin.com/company/ixaka-limited
vanda pharmaceuticals inc,2014-11-29 00:00:00,No,VGT-1849B,"JAK2, Janus Kinase 2",hematologic malignancies,kinases,Preclinical,Yes,"Fanapt®, HETLIOZ®, PONVORY®",https://www.prnewswire.com/news-releases/vanda-pharmaceuticals-reports-second-quarter-2025-financial-results-302518338.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
grace science llc,"Error: Connection failed - HTTPSConnectionPool(host='timmermanreport.com', po",Yes,GTx-104,Not specified,rare diseases; CNS,ion channels,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,gene therapy,https://www.linkedin.com/company/grace-science-llc,No,,,No,,,No,,
minervax aps,"Error: Connection failed - HTTPSConnectionPool(host='www.wacker.com', port=44",Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,Yes,adjuvanted proteins antigens covering close to 100% of clinical GBS isolates,https://www.linkedin.com/company/minervax-aps/,Yes,generate antibodies (IgG) capable of crossing the placenta,https://pubmed.ncbi.nlm.nih.gov/37010372/,No,,,No,,,No,,,No,,,Yes,Developing a maternal vaccine for Group B Streptococcus,https://www.linkedin.com/company/minervax-aps/,No,,,No,,
inspirna inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"ompenaclid (RGX-202), is an orally-administered small molecule",https://www.linkedin.com/company/inspirna,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
aveo pharmaceuticals inc,2025-10-07 12:34:00,No,Tivozanib,"VEGFR, Vascular Endothelial Growth Factor Receptor",oncology,kinases,Approved,Yes,FOTIVDA® (tivozanib),https://www.linkedin.com/company/aveo-oncology,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
jupiter neurosciences inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,resveratrol platform product,https://www.cnbc.com/quotes/JUNS,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
bicycle therapeutics plc,2025-10-10 14:41:47,Yes,BT5528; zelenectide pevedotin; BT1718; BT7401,"EphA2, Ephrin type-A receptor 2; Nectin-4, Cell adhesion molecule; MT1-MMP, Membrane Type 1 Matrix Metalloproteinase; CD137, Cluster of Differentiation 137",oncology,kinases; other; enzyme; immune checkpoint,Phase 1; Phase 2; Phase 2a,Yes,small molecule scaffolds,https://www.linkedin.com/company/bicycle-therapeutics,Yes,bicyclic peptides,https://www.linkedin.com/company/bicycle-therapeutics,No,,,No,,,Yes,Bicycle® Toxin Conjugate (BTC®),https://www.linkedin.com/company/bicycle-therapeutics,No,,,No,,,No,,,No,,,No,,,Yes,Bicycle® Radio Conjugates (BRC™),https://www.linkedin.com/company/bicycle-therapeutics
tango therapeutics inc,2025-10-14 15:46:54,Yes,TNG462; daraxonrasib; zoldonrasib,"PRMT5, Protein Arginine Methyltransferase 5; RAS, Rat Sarcoma Viral Oncogene Homolog",oncology,enzyme; other,Phase 1/2,Yes,The Company's novel small molecules are designed to be selectively active in cancer cells with specific genetic alterations,https://www.cnbc.com/quotes/TNGX,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,utilize synthetic lethality - the interaction between two genes that causes cell death when both are inactivated,https://www.linkedin.com/company/tango-therapeutics
basking biosciences inc,"Error: Connection failed - HTTPSConnectionPool(host='oied.osu.edu', port=443)",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,Yes,BB-031 is an RNA aptamer optimized for rapid onset of action and short duration of effect.,https://www.linkedin.com/company/basking-biosciences-inc,No,,,No,,,No,,,No,,
red queen therapeutics inc,2024-08-06 07:00:00,Yes,RQ-01,Not specified,infectious diseases,other,Phase 1,No,,,Yes,stapled lipopeptide technology,https://www.linkedin.com/company/red-queen-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
replimune ltd,2023-02-11 20:57:05,No,RP1; RP2,"PD-1, Programmed Death-1; CTLA-4, Cytotoxic T-Lymphocyte-Associated Protein 4",oncology,immune checkpoint,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,oncolytic immunotherapies,https://www.foresitecapital.com/portfolio/replimune-group/
nodthera inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://pitch,No,NT-0796; NT-0249; NT-0150,"NLRP3, NLRP3 Inflammasome",obesity; cardiovascular diseases; neurodegenerative diseases; Parkinson's disease,other,Phase 2,Yes,"small molecule, brain-penetrant NLRP3 inflammasome inhibitor",https://www.linkedin.com/company/nodthera,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
jounce therapeutics inc,2021-04-10 00:00:00,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,Yes,"vopratelimab, a monoclonal antibody that binds to and activates ICOS",https://www.linkedin.com/company/jounce-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,
naurex inc,2018-06-28 18:02:19,Yes,GLYX-13; NRX-1074,"NMDA, N-methyl-D-aspartate receptor",CNS; mental health,ion channels,Phase 3; Phase 1,Yes,small molecule NMDA receptor modulators,https://www.prnewswire.com/news-releases/allergan-to-acquire-naurex-300118764.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
asociacion europea y latinoamericana selnet para la investigacion en sarcomas,"Error: Connection failed - HTTPSConnectionPool(host='cordis.europa.eu', port=",Yes,Not specified,Disease Name,oncology; rare diseases,Not specified,Preclinical,Yes,fármacos en subtipos de sarcomas raros,http://eulacfoundation.org/es/selnet,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
