company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
vgi health technology limited,Error: Connection failed - HTTPSConnectionPool(host='www.pittstreetresearch.c,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
vgi health technology ltd,Error: Connection failed - HTTPSConnectionPool(host='www.pittstreetresearch.c,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Exosome-based therapeutics,https://www.marketscreener.com/quote/stock/VGI-HEALTH-TECHNOLOGY-LIM-124598851/
cyclo therapeutics inc,2025-10-13 15:13:11,No,Trappsol Cyclo,Niemann-Pick Type C disease; Alzheimer's disease,rare diseases; CNS,other,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
duke street bio ltd,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,No,DSB2455,"PARP1, Poly (ADP-ribose) Polymerase 1; PARP7, Poly (ADP-ribose) Polymerase 7",oncology,enzyme,Preclinical,Yes,highly selective and CNS-penetrant PARP1 inhibitor #DSB2455,https://uk.linkedin.com/company/duke-street-bio,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
forbius,2019-11-14 00:00:00,No,AVID200,"TGF-beta 1 and 3, Transforming Growth Factor-beta 1 and 3",oncology; fibrotic diseases,cytokine,Phase 2,No,,,No,,,Yes,protein engineering technologies,https://www.linkedin.com/company/forbius,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
celtic biotech iowa inc (inactive),"Error: Connection failed - HTTPSConnectionPool(host='en.wikipedia.org', port=",Yes,nirogacestat,"Notch, Notch-signaling pathway",oncology,other,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,specialized receptor binding proteins found in snake venom,https://www.clinicalleader.com/doc/spotlight-innovation-subsidiary-celtic-iowa-cohorts-phase-i-trial-crotoxin-treatment-cancer-0001
resother pharma aps,"Error: Connection failed - HTTPSConnectionPool(host='tracxn.com', port=443): ",Yes,RTP-026,"FPR2, Formyl Peptide Receptor 2",cardiovascular,gpcr,Phase 2,No,,,Yes,peptide-based drugs derived from Annexin A1,https://www.ventureradar.com/organisation/ResoTher%20Pharma%20ApS/c40201a0-626d-45ba-ad04-7048e12f050c,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
longboard pharmaceuticals inc,"Error: Connection failed - HTTPSConnectionPool(host='www.lundbeck.com', port=",No,LP352,"5-HT2C, 5-Hydroxytryptamine Receptor 2C",CNS; rare neurological diseases,gpcr,Phase 3,Yes,small molecule product candidates,https://www.linkedin.com/company/longboard-pharma,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
remegen co ltd,"Error: Connection failed - HTTPSConnectionPool(host='www.remegen.com', port=4",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,Yes,RC28-E is a VEGF/FGF dual-target fusion protein drug,https://www.prnewswire.com/news-releases/remegen-and-santen-enter-into-exclusive-licensing-agreement-for-ophthalmic-innovative-drug-rc28-e-in-greater-china-and-asian-countries-302532212.html,No,,,No,,,Yes,RC28-E is a VEGF/FGF dual-target fusion protein drug,https://www.prnewswire.com/news-releases/remegen-and-santen-enter-into-exclusive-licensing-agreement-for-ophthalmic-innovative-drug-rc28-e-in-greater-china-and-asian-countries-302532212.html,No,,,No,,,No,,,No,,,No,,
cantargia ab,2025-10-07 12:36:40,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,Yes,Cantargia develops antibody based therapies against the target IL1RAP.,https://www.linkedin.com/company/cantargia-ab/,No,,,No,,,No,,,No,,,No,,,No,,,No,,
"palvella therapeutics, inc",2025-10-16 00:00:00,No,QTORIN™ rapamycin,PI3K/AKT/mTOR pathway,rare diseases; dermatology,kinases,Phase 3,Yes,QTORIN™ 3.9% rapamycin anhydrous gel,https://www.stocktitan.net/news/PVLA/u-s-food-and-drug-administration-awards-year-two-proceeds-from-uy95g7vt6r8f.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
guangzhou egg biotechnology co ltd,"Error: Connection failed - HTTPSConnectionPool(host='www.newtbdrugs.org', por",No,DX126-262,"HER2, Human Epidermal Growth Factor Receptor 2",oncology,other,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
celtic biotech iowa inc,"Error: Connection failed - HTTPSConnectionPool(host='ie.linkedin.com', port=4",Yes,CB-24,"TRPV6, Transient Receptor Potential Vanilloid 6",oncology,ion channels,Phase 1,No,,,No,,,Yes,specialized receptor binding proteins found in snake venom,https://www.clinicalleader.com/doc/spotlight-innovation-subsidiary-celtic-iowa-cohorts-phase-i-trial-crotoxin-treatment-cancer-0001,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
medivir ab,2025-06-12 14:09:39,Yes,Fostroxacitabine bralpamide; Remetinostat; MIV-711; Birinapant; Xerclear,Not specified,oncology; infectious diseases; rare diseases,enzyme; other; Not specified,Phase 1; Phase 2; Preclinical; Marketed,Yes,Nucleotide DNA polymerase inhibitor (oral),https://www.medivir.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
yaqrit ltd,"Error: Connection failed - HTTPSConnectionPool(host='uk.linkedin.com', port=4",Yes,YAQ006; YAQ007; YAQ005,Hyperammonemia,liver diseases; hepatic encephalopathy,enzyme,Phase 3,Yes,YAQ007 (our oral L-OPA ammonia scavenger),https://uk.linkedin.com/company/yaqrit-ltd,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"toll-like receptor 4 antagonist, YAQ005",https://uk.linkedin.com/company/yaqrit-ltd
strekin ag (inactive),"Error: Connection failed - HTTPSConnectionPool(host='www.startupticker.ch', p",No,STR001,Not specified,CNS,other,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
immupharma plc,"Error: Connection failed - HTTPSConnectionPool(host='www.immupharma.co.uk', p",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
antev ltd,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",No,Teverelix,"GnRH, Gonadotropin-Releasing Hormone",oncology; urology,other,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
phoenicis therapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='tracxn.com', port=443): ",Yes,QR 313,Not specified,rare diseases; dermatology,Not specified,Phase 1/II,No,,,No,,,Yes,decorin (a natural protein found in humans),https://cure-eb.org/research-portfolio/fibrx-derm/,No,,,No,,,No,,,Yes,antisense oligonucleotide targeting exon 73 in the COL7A1 gene,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=600217,No,,,No,,,No,,,No,,
provention bio inc,2023-03-13 00:00:00,Yes,Teplizumab; PRV-3279; PRV-015; PRV-101,"Disease Name, Type 1 Diabetes; CD32B, Cluster of Differentiation 32B; CD79B, Cluster of Differentiation 79B; IL-15, Interleukin-15",immunology; autoimmune diseases,immune checkpoint; cytokine; other,Approved; Phase 2; Phase 3,No,,,No,,,No,,,Yes,CD3-directed antibody,https://www.sanofi.com/en/media-room/press-releases/2023/2023-03-13-06-00-00-2625367,No,,,No,,,No,,,No,,,No,,,No,,,No,,
lexaria bioscience corp,"Error: Connection failed - HTTPSConnectionPool(host='ca.linkedin.com', port=4",Yes,Semaglutide; FTS,"GLP-1R, Glucagon-Like Peptide-1 Receptor",metabolic diseases; CNS,gpcr,Preclinical,Yes,Lexaria’s DehydraTECH technology improves the way active pharmaceutical ingredients (APIs) enter the bloodstream,https://www.investorbrandnetwork.com/clients/lexaria-bioscience-corp/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Lexaria licenses its fat-soluble active molecule delivery technology to multiple established companies,https://www.investorbrandnetwork.com/clients/lexaria-bioscience-corp/
bionomics ltd,"Error: Connection failed - HTTPSConnectionPool(host='www.iposcoop.com', port=",Yes,BNC210,"α7 nAChR, Alpha-7 Nicotinic Acetylcholine Receptor",CNS,ion channels,Phase 2,Yes,"BNC210, an oral, proprietary, selective negative allosteric modulator of the α7 nicotinic acetylcholine receptor",https://www.nasdaq.com/articles/bionomics-limited-shareholders-approve-re-domiciliation-united-states-neuphoria,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
novelmed therapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='www.sbir.gov', port=443)",No,NM8074,Not specified,rare diseases,Not specified,Not specified,No,,,No,,,No,,,Yes,"Alternative Pathway-specific antibodies (NM8074, NM5072, and NM8070)",https://www.globenewswire.com/news-release/2025/05/19/3084225/0/en/NovelMed-s-Phase-II-Data-in-Paroxysmal-Nocturnal-Hemoglobinuria-PNH-Patients-Ruxoprubart-Shows-Best-in-Class-Efficacy-as-Monotherapy.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,
genzyme corp,2023-07-25 01:18:18,No,Venglustat,Not specified,rare diseases,enzyme,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"vaccines division, rabies and anthrax vaccines",https://www.statnews.com/2022/02/03/sanofi-genzyme-boston-name/,No,,,No,,
cellusion inc,2024-11-06 01:26:58,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Development of cell therapy for bullous keratopathy using iPS cells,https://www.linkedin.com/company/cellusion/,No,,,No,,,No,,
secretome therapeutics,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.b,Yes,STM-01; STM-21; Dovitinib; Nintedanib,"HFpEF, Heart Failure with Preserved Ejection Fraction; DCM, Dilated Cardiomyopathy; FGFR4, Fibroblast Growth Factor Receptor 4; FLT1, Fms-Related Tyrosine Kinase 1; WNT5A, Wingless-Type MMTV Integration Site Family Member 5A",cardiovascular; oncology,other; kinases,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,neonatal cardiac progenitor cell (nCPC)-derived cell therapy,https://www.cgtlive.com/view/secretome-therapeutics-doses-first-patient-phase-1-trial-heart-failure-cell-therapy-stm-01,No,,,No,,,Yes,"secretomes, naturally occurring molecules that promote healing and regeneration",https://dallasinnovates.com/secretome-therapeutics-appoints-new-chief-medical-officer/
valo therapeutics oy,Error: Connection failed - 403 Client Error: Forbidden for url: https://pitch,Yes,PeptiCRAd,Disease Name,oncology,other,Preclinical,No,,,Yes,disease-specific peptides,https://www.linkedin.com/company/valo-therapeutics/,No,,,No,,,No,,,No,,,No,,,No,,,Yes,therapeutic vaccination platforms,https://www.linkedin.com/company/valo-therapeutics/,No,,,Yes,oncolytic viruses,https://www.linkedin.com/company/valo-therapeutics/
celonova biosciences inc,"Error: Connection failed - HTTPSConnectionPool(host='tracxn.com', port=443): ",No,Embozene TANDEM; ONCOZENE; Embozene,"Disease Name, Liver Cancer; Disease Name, Hypervascular Tumors; Disease Name, Uterine Fibroids; Disease Name, Arteriovenous Malformations; Disease Name, Hepatoma",oncology; interventional radiology,other,Investigational,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Drug-eluting microspheres designed to be loaded with chemotherapy drugs for delivery to cancerous tumors,https://news.bostonscientific.com/2015-11-10-Boston-Scientific-To-Acquire-Interventional-Radiology-Business-Of-CeloNova-Biosciences
rubius therapeutics inc,2021-04-16 00:00:00,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,genetically engineer and culture Red Cell Therapeutics™,https://www.linkedin.com/company/rubius-therapeutics,No,,,No,,,Yes,potent cell-cell interaction and tolerance induction,https://www.linkedin.com/company/rubius-therapeutics
bellus health inc,2022-01-14 00:00:00,No,camlipixant,"P2X3, Purinergic Receptor X3",respiratory diseases,ion channels,Phase 3,Yes,twice-daily oral P2X3 receptor antagonist,https://www.gsk.com/en-gb/media/press-releases/gsk-completes-acquisition-of-bellus-health/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
beijing pearl biotechnology llc,"Error: Connection failed - HTTPSConnectionPool(host='www.bioworld.com', port=",No,PLB1001; ANS03,"c-Met, Mesenchymal-Epithelial Transition Factor; ROS1, ROS Proto-Oncogene 1; NTRK, Neurotrophic Tyrosine Receptor Kinase",oncology,kinases,Approved; Phase 1,No,,,No,,,Yes,novel biologics with diverse chemistries,https://www.pearlbio.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,template-directed biomaterials with tunable properties,https://www.pearlbio.com/
h3 biomedicine inc,"Error: Connection failed - HTTPSConnectionPool(host='www.bionity.com', port=4",Yes,H3B-6545,"ERα, Estrogen Receptor Alpha",oncology,nuclear receptors,Phase 2,Yes,advancing drugs from bench to bedside,https://media-us.eisai.com/2021-08-30-Eisai-Announces-New-Executive-Leadership-Team-at-H3-Biomedicine,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
tolero pharmaceuticals inc,Error: Connection failed - HTTPSConnectionPool(host='www.sumitomo-pharma.com',No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,targets important biological drivers of blood disorders,https://www.linkedin.com/company/tolero-pharmaceuticals-inc-,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
arrowhead pharmaceuticals inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",Yes,Plozasiran; ARO-APOC3; Zodasiran; ARO-ANG3,"ApoC3, Apolipoprotein-CIII; ANGPTL3, Angiopoietin-like Protein 3",cardiometabolic; dyslipidemia,enzyme,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,Yes,RNAi technology makes it possible to target the genes that cause disease.,https://arrowheadpharma.com/,No,,,No,,,No,,,No,,
spyre therapeutics inc,2025-10-15 22:11:54,Yes,SPY001; SPY002; SPY003; SPY120; SPY130,α4β7; TL1A; IL-23,gastrointestinal; rheumatological; immune-mediated diseases,cytokine,Phase 2,No,,,No,,,No,,,Yes,Spyre is developing next-generation antibodies that are engineered for prolonged activity in the body,https://www.spyre.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,
dicerna pharmaceuticals inc,"Error: Connection failed - HTTPSConnectionPool(host='www.linkedin.com', port=",Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,Yes,RNAi (ribonucleic acid interference),https://www.linkedin.com/company/dicerna-pharmaceuticals-inc.,No,,,No,,,No,,,No,,
praxis precision medicines inc,2025-10-16 17:43:24,Yes,Not specified,Not specified,CNS,Not specified,Phase 2,Yes,small molecule inhibitor of T-type calcium channels,https://www.stocktitan.net/news/PRAX/praxis-precision-medicines-announces-positive-topline-results-from-jtbxnj5gm2ot.html,No,,,No,,,No,,,No,,,No,,,Yes,"antisense oligonucleotide (ASO) platform, Solidus™",https://www.stocktitan.net/news/PRAX/praxis-precision-medicines-announces-positive-topline-results-from-jtbxnj5gm2ot.html,No,,,No,,,No,,,No,,
crescent biopharma inc,"Error: Connection failed - HTTPSConnectionPool(host='www.biospace.com', port=",Yes,CR-001; CR-002; CR-003,"PD-1, Programmed Death-1; VEGF, Vascular Endothelial Growth Factor",oncology,immune checkpoint; cytokine,Preclinical,No,,,No,,,No,,,Yes,PD-1 x VEGF bispecific antibody,https://www.globenewswire.com/news-release/2025/06/16/3099691/0/en/Crescent-Biopharma-Completes-Closing-of-Merger-with-GlycoMimetics-and-Previously-Announced-Private-Placement-of-200-Million.html,Yes,novel antibody-drug conjugates (ADCs),https://www.globenewswire.com/news-release/2025/06/16/3099691/0/en/Crescent-Biopharma-Completes-Closing-of-Merger-with-GlycoMimetics-and-Previously-Announced-Private-Placement-of-200-Million.html,No,,,No,,,No,,,No,,,No,,,No,,
beijing anshi biotechnology co ltd,"Error: Connection failed - HTTPSConnectionPool(host='equalocean.com', port=44",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
sichuan kelun botai biomedical co ltd,"Error: Connection failed - HTTPSConnectionPool(host='www.globaldata.com', por",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
upstream bio inc,2025-10-14 17:39:04,No,verekitug,"TSLP, Thymic Stromal Lymphopoietin receptor",respiratory diseases,cytokine,Phase 2,No,,,No,,,No,,,Yes,clinical-stage monoclonal antibody targeting an upstream driver of inflammatory response,https://www.linkedin.com/company/upstreambio,No,,,No,,,No,,,No,,,No,,,No,,,No,,
sironax ltd,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,Yes,SIR2501; SIR4156; SIR9900; SIR2446; SIR8752; SIR0365,"SARM1, Sterile Alpha and TIR Motif Containing 1; NAMPT, Nicotinamide Phosphoribosyltransferase; RIPK1, Receptor-Interacting Serine/Threonine-Protein Kinase 1",neurodegenerative diseases; neuronal and muscular degenerative diseases; inflammation; immunology; CNS,enzyme; enzyme; kinases,Phase 1,Yes,multiple clinical-stage small molecule programs,https://www.sironax.com.cn/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Brain Delivery Module platform,https://www.sironax.com.cn/
abcuro inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.b,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,Yes,anti-KLRG1 antibody,https://www.linkedin.com/company/abcuro-inc,No,,,No,,,No,,,No,,,No,,,No,,,No,,
nikang therapeutics inc,2025-09-08 12:23:23,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,novel small molecule oncology drug discovery,https://www.linkedin.com/company/nikang-therapeutics-inc,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,CDK2 PROTAC Degrader,https://www.linkedin.com/company/nikang-therapeutics-inc,No,,
