company_name,sector,funding,funding_citation,ai_enabled
neurogene inc,Biotechnology,Not Found,Not Found,No
neurologix inc (inactive),Biotechnology,Not Found,Not Found,No
neurophth therapeutics inc,Biotechnology,"$60M, Series C",https://www.neurophth.com/en/index.html,No
neurotech holdings llc,Error,Error,Error,Error
next generation gene therapeutics inc,Biotechnology,Not Found,Not Found,No
nextgen,Error,Error,Error,Error
nextgen co ltd,Others,Not Found,Not Found,Yes
novartis gene therapies,Biotechnology,"$8.7B, Acquired",https://en.wikipedia.org/wiki/Novartis_Gene_Therapies,No
ocugen inc,Biotechnology,"$20M, Post IPO equity",https://www.linkedin.com/company/ocugen,No
ohio state university,Others,Not Found,Not Found,Yes
oncosec medical inc,Biotechnology,"$1.3M, Post IPO equity",https://www.linkedin.com/company/oncosec-medical-inc,No
opus genetics inc,Biotechnology,"$37M, Acquired",https://www.ncbiotech.org/news/opus-genetics-acquired-becomes-public-company-based-nc,No
opus genetics incorporation,Biotechnology,"$37M, Acquired",https://www.ncbiotech.org/news/opus-genetics-acquired-becomes-public-company-based-nc,No
osaka university hospital,Others,Not Found,Not Found,Yes
oxford biomedica plc,Biotechnology,"$55M, Not Found",https://en.wikipedia.org/wiki/Oxford_Biomedica,Yes
ptc therapeutics inc,Pharmaceuticals,"$1.0B, Post IPO equity",https://www.linkedin.com/company/ptc-therapeutics,No
pacira biosciences inc,Pharmaceuticals,Not Found,Not Found,No
passage bio inc,Biotechnology,Not Found,Not Found,No
peking university first hospital,Others,Not Found,Not Found,No
pfizer inc,Pharmaceuticals,Not Found,Not Found,No
prevail therapeutics inc,Biotechnology,"$880M, Acquired",https://www.prnewswire.com/news-releases/lilly-announces-agreement-to-acquire-prevail-therapeutics-301192753.html,No
pulsesight therapeutics sas,Biotechnology,"$10M, Series A",https://sprim.net/pulsesight-therapeutics-announces-first-close-of-its-series-a-financing-to-fund-clinical-development-of-pst-611-in-dry-amd/,No
q32 bio inc,Biotechnology,Not Found,Not Found,No
queen''s university,Others,Not Found,Not Found,No
ray therapeutics inc,Biotechnology,"$8M, Grant",https://www.cirm.ca.gov/our-progress/institutions/ray-therapeutics-inc/,No
recode therapeutics inc,Biotechnology,"$15M, Series Unknown",https://www.crunchbase.com/organization/recode-therapeutics,No
refreshgene therapeutics,Biotechnology,Not Found,Not Found,No
regenxbio inc,Biotechnology,"$150M, Post IPO Debt",https://www.linkedin.com/company/regenx,No
rejukon biopharm inc,Biotechnology,Not Found,Not Found,No
ribox (shanghai) therapeutics co ltd,Biotechnology,"$110M, Not Found",https://synapse.patsnap.com/organization/ee9d476e4c53bda0b62fb060da3ea2d1,No
rotterdam eye hospital,Others,Not Found,Not Found,No
snipr biome aps,Biotechnology,"$40.8M, Series B",https://www.biospace.com/press-releases/snipr-biome-raises-eur-35-million-series-b-financing-to-advance-crispr-medicines-targeting-antimicrobial-resistance,No
sanofi,Pharmaceuticals,"$625M, Not Found",https://www.insidermonkey.com/blog/sanofi-sny-invests-625-million-in-sanofi-ventures-1622840/,Yes
sardocor corp,Biotechnology,Not Found,Not Found,No
sarepta therapeutics inc,Biotechnology,Not Found,Not Found,No
selecta biosciences inc,Biotechnology,"$60.3M, Post IPO Equity",https://www.linkedin.com/company/selecta-bio,No
seventh medical center of pla general hospital,Others,Not Found,Not Found,No
shanghai jiao tong university school of medicine,Others,Not Found,Not Found,No
shanghai jiaotong university affiliated sixth people''s hospital,Others,Not Found,Not Found,No
shanghai lingyi biotechnology co ltd,Biotechnology,"Undisclosed, Seed",https://tracxn.com/d/companies/lingyi-bio/__W2LChI_xwZcLWdlCvsftC3D6eCvDn6-qSnhKt8k7kHE,Yes
shanghai ruihongdi pharmaceutical co ltd,Pharmaceuticals,Not Found,Not Found,Yes
shanghai vitalgen biopharma co ltd,Biotechnology,"$10M, Series A",https://www.einpresswire.com,Yes
shanghai yuansong biotechnology co ltd,Biotechnology,Not Found,Not Found,No
shenzen sibiono genetech co ltd,Biotechnology,Not Found,Not Found,No
shenzhen magicrna biotech co ltd,Biotechnology,Not Found,Not Found,No
sichuan university,Others,Not Found,Not Found,No
sichuan zhishan weixin biotechnology co ltd,Biotechnology,"$29.6M, Series A",https://tracxn.com/d/companies/sichuan-zhishanweixin-biotechnology/__qUjax0yjNT3NbYEAC2v90C86iqGcy3_FHAyI9gcIZIQ,No
sio gene therapies inc,Biotechnology,Not Found,Not Found,No
skyline therapeutics (shanghai) co ltd,Biotechnology,Not Found,Not Found,No
solid biosciences inc,Biotechnology,Not Found,Not Found,No
sparingvision sas,Biotechnology,"$74.9M, Series B",https://www.crunchbase.com/organization/sparingvision,No
spark therapeutics inc,Biotechnology,"$161M, IPO",https://en.wikipedia.org/wiki/Spark_Therapeutics,No
spirovant sciences inc,Biotechnology,"$4.5M, Grant",https://www.linkedin.com/company/spirovant,No
splice bio sl,Biotechnology,"$135M, Series B",https://european-biotechnology.com/latest-news/splicebio-sl-secures-us135m-in-series-b-financing/,No
spur therapeutics ltd,Biotechnology,"$50M, Private Equity",https://www.synconaltd.com/news-insights/news/spur-therapeutics-formerly-freeline-announces-new-name-and-brand/,No
staidson (beijing) biopharmaceuticals co ltd,Biotechnology,Not Found,Not Found,No
starna therapeutics,Biotechnology,"$22.1M, Series A",https://tracxn.com/d/companies/starna-therapeutics/__HhK8qSiKtlq5zcPuFK4uk_qno8cn-PbEJndI14GgtTc,Yes
steinbeis transfer center stc eyetrial,Biotechnology,Not Found,Not Found,No
suzhou abogen biosciences co ltd,Biotechnology,"$1.13B, Series C",https://tracxn.com/d/companies/abogen-biosciences/__G_Lnr_ftMDk6heR-tjNDQ-oaAF6EB7HwN1zQiBZ2Dwk,Yes
suzhou huayi liangjian biotechnology co ltd,Biotechnology,"$10M, Series A",https://tracxn.com/d/companies/suzhou-huayi-lejian-biotechnology/__8rcRT8U5H73UHhKHL4SosZhm1AGUeOdtkKd_OEoTJqU,No
suzhou nuojiebei biotechnology co ltd,Biotechnology,Not Found,Not Found,No
suzhou otovia therapeutics co ltd,Biotechnology,Not Found,Not Found,No
suzhou ugenex therapeutics co ltd,Biotechnology,"$10M, Seed",https://www.cbinsights.com/company/ugenex-therapeutics,Yes
swanbio therapeutics inc,Biotechnology,"$10M, Series Unknown",https://www.crunchbase.com/organization/swanbio-therapeutics,No
swanbio therapeutics ltd,Biotechnology,"$10M, Series Unknown",https://www.crunchbase.com/organization/swanbio-therapeutics,No
taihe hospital,Others,Not Found,Not Found,Yes
taysha gene therapies inc,Biotechnology,Not Found,Not Found,No
tenaya therapeutics inc,Biotechnology,"$52.5M, Post IPO equity",https://www.linkedin.com/company/tenaya-therapeutics,No
tern therapeutics llc,Biotechnology,"$15M, Seed",https://www.linkedin.com/company/terntx,No
the first affiliated hospital of fujian medical university,Others,Not Found,Not Found,No
the hospital for sick children,Biotechnology,"$1.5B, Not Found",Not Found,No
the national institute of allergy and infectious diseases,Others,Not Found,Not Found,Yes
the national institute of diabetes and digestive and kidney diseases,Others,Not Found,Not Found,No
the university of new south wales press limited,Others,Not Found,Not Found,No
therorna inc,Biotechnology,"$42M, Series A",https://www.prnewswire.com/news-releases/therorna-completes-series-a-financing-to-accelerate-pipeline-development-and-clinical-transformation-of-circrna-based-platform-301569206.html,Yes
tianjin medical university eye hospital,Others,"$211,000, Seed",https://health-policy-systems.biomedcentral.com/articles/10.1186/s12961-025-01388-8,Yes
transgene sa,Biotechnology,Not Found,Not Found,Yes
translate bio inc,Biotechnology,"$3.2B, Acquired",https://www.drugtargetreview.com/news/97380/sanofi-acquires-translate-bio-for-mrna-therapeutic-development/,No
translate bio inc (inactive),Biotechnology,"$3.2B, Acquired",https://www.drugtargetreview.com/news/97380/sanofi-acquires-translate-bio-for-mrna-therapeutic-development/,Yes
tune therapeutics inc,Biotechnology,"$175M, Series B",https://www.ncbiotech.org/news/durhams-tune-therapeutics-raises-175m-venture-capital,Yes
ultragenyx pharmaceutical inc,Biotechnology,"$126M, IPO",https://en.wikipedia.org/wiki/Ultragenyx,No
uniqure biopharma bv,Biotechnology,"$345M, Post IPO equity",https://www.linkedin.com/company/uniqure,No
uniqure nv,Biotechnology,"$345M, Post IPO equity",https://www.linkedin.com/company/uniqure,No
university of california,Others,Not Found,Not Found,Yes
university of massachusetts,Others,Not Found,Not Found,No
university of massachusetts worcester campus,Others,Not Found,Not Found,Yes
university of oxford,Others,Not Found,Not Found,Yes
urovant sciences inc,Pharmaceuticals,"$140M, IPO",https://www.ocbj.com/healthcare/urovant-being-folded-into-japanese-pharma-giant/,No
urovant sciences inc (inactive),Biotechnology,"$681M, Acquired",https://www.omm.com/news/press-releases/o-melveny-represents-urovant-in-its-sale-to-sumitovant/,No
vegavect inc,Biotechnology,Not Found,Not Found,Yes
veongen gmbh,Biotechnology,Not Found,Not Found,No
veongen therapeutics gmbh,Biotechnology,Not Found,Not Found,No
verve therapeutics inc,Biotechnology,"$143.8M, Post IPO Equity",https://www.linkedin.com/company/verve-therapeutics-inc,No
vigeneron gmbh,Biotechnology,"$10M, Series A",https://www.bionity.com/en/companies/1035873/vigeneron-gmbh.html,No
vironexis biotherapeutics inc,Biotechnology,"$26M, Seed",https://www.biospace.com/press-releases/vironexis-biotherapeutics-launches-with-fda-clearance-of-ind-application-for-first-ever-clinical-trial-of-an-aav-delivered-cancer-immunotherapy,No
vivet therapeutics sas,Biotechnology,"$635.8M, Acquired",https://www.pfizer.com/news/press-release/press-release-detail/pfizer_secures_exclusive_option_to_acquire_gene_therapy_company_vivet_therapeutics,No
wuhan guanggu humanwell healthcare co ltd,Pharmaceuticals,Not Found,Not Found,No
wuhan neophth biotechnology co ltd,Biotechnology,"$95M, Series C+",https://www.prnewswire.com/news-releases/neurophth-secures-nearly-95-million-usd-in-series-c-financing-for-gene-therapy-clinical-trials-301898549.html,No
wuhan neurophth biological technology ltd,Biotechnology,"$95M, Series C+",https://www.prnewswire.com/news-releases/neurophth-secures-nearly-95-million-usd-in-series-c-financing-for-gene-therapy-clinical-trials-301898549.html,No
xalud therapeutics inc,Biotechnology,"$30M, Series C",https://www.linkedin.com/company/xalud-therapeutics-inc.,No
xiamen ophthalmology center affiliated to xiamen university,Others,Not Found,Not Found,No
xin hua hospital affiliated to shanghai jiaotong university school of medicine,Others,"$1.1M, Not Found",https://www.gatesfoundation.org/about/committed-grants/2024/10/inv-072724,No
xinhua hospital affiliated to shanghai jiao tong university school of medicine,Others,"$1.1M, Not Found",https://www.gatesfoundation.org/about/committed-grants/2024/10/inv-072724,No
xi’an jiaotong university hospital 1,Others,Not Found,Not Found,No
xylocor therapeutics inc,Biotechnology,"$67.5M, Series B",https://www.businesswire.com/news/home/20250107904126/en/XyloCor-Therapeutics-Raises-%2467.5-Million-in-Series-B-Financing-to-Advance-Clinical-Development-of-Novel-Gene-Therapy-in-Cardiovascular-Disease,No
yap therapeutics inc,Biotechnology,"$30.06M, Series B",https://www.cbinsights.com/company/yap-therapeutics,No
yoltech therapeutics co ltd,Biotechnology,"$45M, Series B",https://finance.yahoo.com/news/yoltech-therapeutics-raises-45-million-120500586.html,Yes
yonsei university,Others,Not Found,Not Found,Yes
zhejiang heli xinjian pharmaceutical co ltd,Others,Not Found,Not Found,No
zhongmou therapeutics,Biotechnology,Not Found,Not Found,No
zhongze therapeutics,Biotechnology,"$10M, Series Pre-A",https://www.zhongzetherapeutics.com/index.php/en,No
engene holdings inc,Biotechnology,"$43.2M, Post IPO Equity",https://www.linkedin.com/company/engene,No
engene inc,Biotechnology,"$43.2M, Post IPO equity",https://www.linkedin.com/company/engene,No
ethris gmbh,Biotechnology,"$5M, Grant",https://european-biotechnology.com/latest-news/ethris-gmbh-bags-us5m-from-cepi/,No
iecure,Biotechnology,"$65M, Series A",https://www.linkedin.com/company/iecure,No
iecure inc,Biotechnology,"$65M, Series A",https://www.linkedin.com/company/iecure,No
iview therapeutics inc,Biotechnology,Not Found,Not Found,No
1st bio therapeutics inc,Biotechnology,Not Found,Not Found,Yes
2-bbb medicines bv,Biotechnology,Not Found,Not Found,Yes
23andme holding co,Biotechnology,Not Found,Not Found,Yes
23andme holding co.,Biotechnology,Not Found,Not Found,No
3d medicines (sichuan) co ltd,Biotechnology,"$10M, IPO",https://en.3d-medicines.com/,Yes
3d medicines inc,Biotechnology,"$1.53B, IPO",https://finance.yahoo.com/quote/1244.HK/,Yes
3sbio inc,Biotechnology,"$1.25B, Acquired",https://www.pfizer.com/news/press-release/press-release-detail/pfizer-completes-licensing-agreement-3sbio,No
424 general military training hospital,Others,Not Found,Not Found,No
4b technologies (beijing) co ltd,Biotechnology,Not Found,Not Found,Yes
4b technologies (suzhou) co ltd,Biotechnology,Not Found,Not Found,Yes
4d pharma plc,Biotechnology,Not Found,Not Found,No
4sc ag,Biotechnology,"$17.5M, Series A",https://imux.com/immunic-acquires-4scs-immunology-portfolio/,No
4teen4 pharmaceuticals gmbh,Pharmaceuticals,"$10.5M, Series C",https://www.crunchbase.com/organization/sphingotec-gmbh,No
7 hills pharma llc,Pharmaceuticals,"$34M, Not Found",https://www.7hillspharma.com/,No
a&g pharmaceutical inc,Biotechnology,Not Found,Not Found,No
a. manzoni hospital,Others,Not Found,Not Found,No
a. menarini industrie farmaceutiche riunite srl,Pharmaceuticals,Not Found,Not Found,Yes
a.c.camargo cancer center,Others,Not Found,Not Found,No
abl bio inc,Biotechnology,"$3M, Series Unknown",https://www.linkedin.com/company/ablbio/,No
adc therapeutics sa,Biotechnology,"$100M, Post IPO equity",https://www.linkedin.com/company/adc-therapeutics,No
adcendo aps,Biotechnology,"$135M, Series B",https://www.prnewswire.com/news-releases/adcendo-aps-completes-oversubscribed-135-million-series-b-financing-to-advance-first-in-class-adc-pipeline-302314835.html,No
adel inc,Biotechnology,"$13M, Series B","https://www.ventureradar.com/organisation/ADEL,%20Inc_%5Bdot%5D_/1bdc7171-4b97-42d7-9bf6-c382c8185262",Yes
ago study group,Others,Not Found,Not Found,No
ai therapeutics inc,Biotechnology,Not Found,Not Found,Yes
aids malignancy clinical trials consortium,Others,"$21.6M, Not Found",https://grantome.com/grant/NIH/UM1-CA121947-14,No
aim immunotech inc,Biotechnology,"$8M, Post IPO equity",https://www.linkedin.com/company/aimimmuno,No
aio studien gmbh,Pharmaceuticals,Not Found,Not Found,Yes
al-s pharma ag,Biotechnology,"$10M, Series A",https://tvm-capital.com/portfolio/al-s-pharma-ag/,No
alx oncology holdings inc,Biotechnology,Not Found,Not Found,No
anrs emerging infectious diseases,Others,"$88M, Not Found",https://www.glopid-r.org/members/institut-national-de-la-sante-et-de-la-recherche-medicale-inserm/,No
anz breast cancer trials group ltd,Biotechnology,Not Found,Not Found,No
anzup cancer trials group ltd,Others,Not Found,Not Found,No
ap biosciences inc,Biotechnology,"$38M, Series D",https://www.apbioinc.com/en/news-detail20.htm,No
apitbio co ltd,Biotechnology,Not Found,Not Found,Yes
ars pharmaceuticals inc,Pharmaceuticals,"$100M, Post IPO Debt",https://www.linkedin.com/company/arspharmaceuticals,No
asan foundation,Others,Not Found,Not Found,Yes
aum biosciences pte ltd,Biotechnology,"$27M, Series A",https://www.linkedin.com/company/aum-biosciences,Yes
av7 ltd,Biotechnology,Not Found,Not Found,No
aveo pharmaceuticals inc,Biotechnology,"$55.2M, Post IPO equity",https://www.linkedin.com/company/aveo-oncology,No
aadi bioscience inc,Biotechnology,"$100M, PIPE",https://www.prnewswire.com/news-releases/aadi-bioscience-announces-closing-of-100-million-pipe-financing-302392049.html,No
aalborg university,Others,Not Found,Not Found,No
aalborg university hospital,Others,Not Found,Not Found,No
aarhus university hospital,Others,Not Found,Not Found,Yes
aarhus university,Others,Not Found,Not Found,No
absci corp,Biotechnology,"$50M, Post IPO equity",https://www.linkedin.com/company/absci,Yes
abviro llc,Biotechnology,Not Found,Not Found,No
abalos therapeutics gmbh,Biotechnology,"$35.93M, Series A",https://www.crunchbase.com/organization/abalos-therapeutics,No
abbisko cayman limited,Biotechnology,"$10M, Not Found",Not Found,No
abbisko therapeutics co ltd,Biotechnology,Not Found,Not Found,No
abbott laboratories,Pharmaceuticals,Not Found,Not Found,Yes
abcentra llc,Biotechnology,Not Found,Not Found,No
abcuro inc,Biotechnology,"$200M, Series C",https://www.businesswire.com/news/home/20250212455038/en/Abcuro-Announces-%24200-Million-Series-C-Financing-to-Advance-Its-First-In-Class-Medicine-in-Development-for-Inclusion-Body-Myositis,No
abdera therapeutics inc,Biotechnology,"$142M, Series B",https://www.crunchbase.com/organization/abdera-therapeutics,No
abderrahmane mami hospital,Others,Not Found,Not Found,No
abivax sa,Biotechnology,"$747.5M, IPO",https://www.linkedin.com/company/abivax/,No
ablynx nv,Biotechnology,"$230M, IPO",https://be.linkedin.com/company/ablynx,No
aboleris pharma,Biotechnology,"$29.2M, Series A",https://www.crunchbase.com/organization/aboleris-pharma,No
abramson cancer center,Others,"$23M, Not Found",https://www.cancer.gov/research/infrastructure/cancer-centers/find/upennabramson,No
abu dhabi health services co,Others,Not Found,Not Found,No
abu dhabi stem cells center,Biotechnology,Not Found,Not Found,Yes
academab biomedical inc,Biotechnology,Not Found,Not Found,Yes
academia espanola de dermatologia y venereologia,Others,Not Found,Not Found,No
academic medical center,Others,Not Found,Not Found,No
academic and community cancer research united,Others,Not Found,Not Found,No
accendatech co ltd,Biotechnology,Not Found,Not Found,No
accord superspeciality hospital,Others,Not Found,Not Found,Yes
aceragen inc,Biotechnology,"$51M, Acquired",https://news.biobuzz.io/2025/07/16/following-merger-with-idera-pharmaceuticals-aceragen-cuts-costs-slashes-80-of-headcount/,No
acerta pharma bv,Biotechnology,Not Found,Not Found,No
acibadem university school of medicine,Others,Not Found,Not Found,No
aclaris therapeutics inc,Biotechnology,"$80M, Post IPO equity",https://www.linkedin.com/company/aclaris-therapeutics-inc-,No
acroimmune australia biotech pty ltd,Biotechnology,Not Found,Not Found,Yes
acroimmune co ltd,Biotechnology,Not Found,Not Found,Yes
acticor biotech sas,Biotechnology,Not Found,Not Found,No
actinium pharmaceuticals inc,Biotechnology,"$25M, Post IPO equity",https://www.linkedin.com/company/actinium-pharmaceuticals-inc-,No
acumen pharmaceuticals inc,Biotechnology,"$50M, Post IPO Debt",https://www.linkedin.com/company/acumen-pharm,No
acute leukemia french association,Others,Not Found,Not Found,No
adagene suzhou ltd,Biotechnology,"$25M, Post IPO equity",https://finance.yahoo.com/quote/ADAG/profile/,Yes
adanate inc,Biotechnology,"$30M, Series A",https://www.wsgr.com/en/insights/wilson-sonsini-advises-adanate-on-patent-matters-related-to-dollar30-million-series-a.html,Yes
adaptive biotechnologies corp,Biotechnology,"$125M, Post IPO Debt",https://www.linkedin.com/company/adaptive-biotechnologies-corp-,Yes
adcentrx therapeutics inc,Biotechnology,Not Found,Not Found,No
addenbrooke''s hospital,Others,Not Found,Not Found,No
adienne pharma & biotech sa,Biotechnology,Not Found,Not Found,No
adienne pharma &,Biotechnology,Not Found,Not Found,No
adlai nortye biopharma co ltd,Pharmaceuticals,"$40M, IPO",https://www.crunchbase.com/organization/adlai-nortye,Yes
adrenomed ag,Biotechnology,Not Found,Not Found,No
advanced centre for treatment research and education in cancer,Others,Not Found,Not Found,No
advanced neurosciences institute inc,Others,Not Found,Not Found,No
advaxis inc,Biotechnology,"$9.3M, IPO",https://www.iposcoop.com/ipo/advaxis-inc/,No
advenchen laboratories llc,Biotechnology,"$4.5M, Series Unknown",https://www.linkedin.com/company/advenchen-laboratories-llc,No
aethlon medical inc,Biotechnology,"$4.5M, Post IPO Equity",https://www.linkedin.com/company/aethlon-medical-inc-,No
aevi genomic medicine inc (inactive),Biotechnology,"$15.6M, Acquired",https://www.marketscreener.com/quote/stock/AEVI-GENOMIC-MEDICINE-INC-32526460/,No
affiliated cancer hospital of shantou university medical college,Others,Not Found,Not Found,No
affiliated hospital of jiangnan university,Others,Not Found,Not Found,No
affiliated hospital of luzhou medical college,Others,Not Found,Not Found,No
affiliated hospital of north sichuan medical college,Others,Not Found,Not Found,No
affiliated hospital of qingdao university,Others,Not Found,Not Found,Yes
affiliated hospital of yunnan university,Others,Not Found,Not Found,No
affiliated people''s hospital of ningbo university,Others,Not Found,Not Found,No
affiliated suzhou hospital,Others,Not Found,Not Found,No
affiliated tumor hospital of guangzhou medical university,Biotechnology,Not Found,Not Found,No
affiliated zhongshan hospital of dalian university,Others,Not Found,Not Found,Yes
affimed gmbh,Biotechnology,"$90M, IPO","https://www.crunchbase.com/organization/affimed-therapeutics#:~:text=Affimed%20Therapeutics%20is%20focused%20on,100%20www.affimed.com%2F",No
affimed nv,Biotechnology,Not Found,Not Found,No
african academy of sciences,Others,Not Found,Not Found,Yes
aga khan university hospital,Others,Not Found,Not Found,Yes
agalimmune ltd,Biotechnology,"$Not Found, Acquired",https://www.prnewswire.com/news-releases/biolinerx-announces-acquisition-of-agalimmune-ltd-to-accelerate-expansion-of-immuno-oncology-pipeline-616907734.html,No
"agency for science, technology and research",Biotechnology,Not Found,Not Found,Yes
agendia inc,Biotechnology,Not Found,Not Found,Yes
