company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
estrella biopharma inc,2023-10-02 00:00:00,Yes,EB103; EB104; CF33-CD19t,"CD19, Cluster of Differentiation 19; CD22, Cluster of Differentiation 22",oncology; autoimmune diseases,immune checkpoint,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,developing T-cell therapies with the capacity to address treatment challenges for patients with blood cancers and solid tumors,https://www.winston.com/en/experience/estrella-biopharma-inc-closes-business-combination-with-tradeup-acquisition-corp-68701101,No,,,No,,,No,,
athenex inc,2022-09-11 00:00:00,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,small molecule or Orascovery business,https://www.wgrz.com/article/money/business/athenex-assets-sold-in-bankruptcy-auction-top-executives-dismissed/71-9cbc0f76-6419-4d03-bb6b-1c482de85ac6,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
23 century clinic,2025-10-16 05:36:35,Yes,Capivasertib; Tusamitamab ravtansine; Zenocutuzumab; Zolbetuximab; Revumenib; Denileukin diftitox; Icotrokinra,"AKT, Protein Kinase B; CEACAM5, Carcinoembryonic Antigen-Related Cell Adhesion Molecule 5; NRG1, Neuregulin 1; Claudin 18.2; KMT2A, Lysine Methyltransferase 2A; IL-2 Receptor; IL-23, Interleukin-23",oncology; hematology; immunology; gastrointestinal diseases,kinases; other; other; other; other; cytokine; cytokine,Approved; Phase 2; Phase 1/2; Phase 3; Phase 1/2; Phase 3; Phase 2,No,,,No,,,No,,,Yes,antibody,https://23chealthcare.com/,No,,,No,,,No,,,Yes,"stem cell therapy, MCAR-T Cells, MCAR-NK cell therapies",https://23chealthcare.com/,No,,,No,,,Yes,"immune cell engagers, advanced immune cell therapy technology",https://23chealthcare.com/
nexcella inc,"Error: Connection failed - HTTPSConnectionPool(host='www.cirm.ca.gov', port=4",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,chimeric antigen receptor T-cell (CAR-T) therapy,https://www.cgtlive.com/view/immix-nexcella-make-progress-us-trial-light-chain-amyloidosis-car-t-nxc-201,No,,,No,,,No,,
targazyme inc,"Error: Connection failed - HTTPSConnectionPool(host='www.targazyme.com', port",No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,small molecule products (TZ101 and TZ102),https://www.linkedin.com/company/targazyme,No,,,Yes,clinical-grade fucosyltransferase enzymes,https://www.linkedin.com/company/targazyme,No,,,No,,,No,,,No,,,Yes,"cell therapy, gene therapy",https://www.linkedin.com/company/targazyme,No,,,No,,,No,,
shenzhen pregene biopharma co ltd,2022-04-06 08:30:00,No,CD19/CD22-targeted CAR-T therapy,"CD19, Cluster of Differentiation 19; CD22, Cluster of Differentiation 22",oncology,immune checkpoint,Preclinical,No,,,No,,,No,,,Yes,single domain antibody-based anti-BCMA chimeric antigen receptor T cell (CAR-T) program,https://www.prnewswire.com/news-releases/pregene-enters-into-innovative-partnership-with-cellpoint-to-develop-anti-bcma-car-t-cell-therapy-in-europe-and-the-us-301518944.html,No,,,No,,,No,,,Yes,CAR-T cell therapy,https://www.prnewswire.com/news-releases/pregene-enters-into-innovative-partnership-with-cellpoint-to-develop-anti-bcma-car-t-cell-therapy-in-europe-and-the-us-301518944.html,No,,,No,,,No,,
biotherapy services ltd,2025-09-24 00:00:00,No,CT-P13; SB2; SB4; ABP 501; GP2015; ABP 215; BCD-021; PF-06439535; RPH-001; BCD-022; CT-P6; FTMB/ABP 980; PF-05280014,"TNF-alpha, Tumor Necrosis Factor-alpha; VEGF, Vascular Endothelial Growth Factor; HER2, Human Epidermal Growth Factor Receptor 2",oncology; chronic inflammatory diseases,cytokine; other,Approved; Marketed,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Regenerative biological therapies,https://www.foresight.group/news/innovative-biopharmaceutical-company-biotherapy-services-ltd-secures-30-million-investment-from-foresight
carsgen therapeutics ltd,2025-08-14 20:15:00,Yes,Zevor-cel; Satri-cel; CT071; CT011; CT0590; CT0596; KJ-C2219; KJ-C2320; KJ-C2114; KJ-C2526,"BCMA, B-cell Maturation Antigen; Claudin18.2, Claudin18.2; GPRC5D, G-protein Coupled Receptor Class 5 Member D; GPC3, Glypican-3; BCMA, B-cell Maturation Antigen; BCMA, B-cell Maturation Antigen; CD19/CD20, Cluster of Differentiation 19 and 20; CD38, Cluster of Differentiation 38; Undisclosed; NKG2DL, Natural Killer Group 2 Member D Ligand",oncology; hematologic malignancies; solid tumors; autoimmune diseases,immune checkpoint; other; gpcr; other; immune checkpoint; immune checkpoint; other; other; Not specified; other,Approved; Phase 2; Phase 1; Phase 1; Phase 1; Phase 1; Phase 1; Phase 1; Preclinical; Preclinical,No,,,No,,,No,,,Yes,antibody development,https://www.linkedin.com/company/carsgen-therapeutics,No,,,No,,,No,,,Yes,CAR T-cell therapies,https://www.carsgen.com/,No,,,No,,,No,,
dc prime bv,"Error: Connection failed - HTTPSConnectionPool(host='synapse.patsnap.com', po",No,PM359; PDC*mel,"p47 phox, NCF1 gene mutation; Disease Name",hematology; oncology; immunology,other,Phase 1/2; Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"allogeneic, off-the-shelf cell-based therapies",https://www.inderes.dk/en/releases/immunicum-ab-publ-completes-business-combination-with-dcprime,Yes,"relapse vaccines, a new class of oncology vaccines",https://www.inderes.dk/en/releases/immunicum-ab-publ-completes-business-combination-with-dcprime,No,,,No,,
abelzeta inc,Error: Connection failed - HTTPSConnectionPool(host='www.oncologypipeline.com,Yes,C-CAR168; C-CAR039,"CD20, Cluster of Differentiation 20; BCMA, B-cell Maturation Antigen; CD19, Cluster of Differentiation 19",inflammatory and immunological diseases; oncology; hematological malignancies,immune checkpoint,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"CAR-T therapies, TIL (Tumor Infiltrating Lymphocytes), CD19/CD20 bi-specific CAR-T therapy",https://www.prnewswire.com/news-releases/abelzeta-announces-promising-long-term-outcomes-for-c-car039-a-novel-cd19cd20-bi-specific-car-t-therapy-in-patients-with-rr-b-nhl-at-eha-2025-302482119.html,No,,,No,,,No,,
mana therapeutics inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.b,Yes,MANA-312; MANA-412; MANA-512,"Disease Name, AML; Disease Name, Solid Tumors",oncology,other,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,Yes,DNA and RNA-based therapeutics,https://www.mana.bio/,Yes,"off-the-shelf, allogeneic cell therapies targeting multiple tumor-associated surface and intracellular antigens",https://www.locustwalk.com/mana-therapeutics/,Yes,vaccines,https://www.mana.bio/,No,,,Yes,lipid nanoparticles drug delivery systems,https://www.mana.bio/
discgenics inc,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,cell-based regenerative therapies for musculoskeletal degeneration,https://www.prnewswire.com/news-releases/peer-reviewed-article-reporting-discgenics-cell-therapy-phase-iii-study-results-receives-international-journal-of-spine-surgery-best-paper-award-302424175.html,No,,,No,,,No,,
huadao shanghai biomedical co ltd,2025-09-19 00:00:00,No,Not specified,"CD-19, Cluster of Differentiation 19; BCMA, B-cell Maturation Antigen",oncology,immune checkpoint,Approved,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
avenge bio inc (inactive),"Error: Connection failed - HTTPSConnectionPool(host='www.decibio.com', port=4",No,AVB-001,"IL-2, Interleukin-2",oncology,cytokine,Phase 1/2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,cell therapy biotech,https://www.linkedin.com/posts/timospapagatsias_avenge-bio-a-cell-therapy-biotech-from-rice-activity-7229511637773258752-x082,No,,,No,,,No,,
kronos bio inc,2025-05-01 00:00:00,No,KB-7898; KB-0742; Entospletinib; Lanraplenib; Istisociclib,"p300, Lysine Acetyltransferase; MYC-driven cancers; BTK, Bruton's Tyrosine Kinase; SYK, Spleen Tyrosine Kinase; CDK9, Cyclin-Dependent Kinase 9",autoimmune diseases; oncology; hematologic malignancies,enzyme; other; kinases,Preclinical; Phase 1/2; Phase 2,Yes,small molecule therapeutics,https://www.globenewswire.com/news-release/2025/05/01/3072392/0/en/Kronos-Bio-Enters-into-Agreement-to-Be-Acquired-by-Concentra-Biosciences-for-0-57-in-Cash-per-Share-Plus-a-Contingent-Value-Right.html,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
clinical research unit of nanoro,No timestamp found,No,artefenomel; ferroquine; lumefantrine; KAF156; sevuparin; tafenoquine; primaquine; arterolane; cipargamin; OZ439,Plasmodium falciparum; Plasmodium vivax; kelch gene mutations,infectious diseases,other,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"RTS,S phase 3 malaria vaccine candidate trial",https://www.pamafrica-consortium.org/crun,No,,,No,,
institute for developing science & health initiatives,No timestamp found,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,HPV vaccination awareness campaigns aimed at preventing cervical cancer,https://ideshi.org/about-us/,No,,,No,,
indiana nanotech llc,"Error: Connection failed - HTTPSConnectionPool(host='www.sbir.gov', port=443)",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
pure biologics sa,2025-02-27 13:38:32,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,Yes,"protein production, purification and analysis",https://www.linkedin.com/company/pure-biologics/,Yes,selection and characterisation of antibodies,https://www.linkedin.com/company/pure-biologics/,No,,,No,,,Yes,aptamers,https://www.linkedin.com/company/pure-biologics/,No,,,No,,,No,,,No,,
seagen inc,2020-10-14 00:00:00,No,SEA-CD40,"CD40, Cluster of Differentiation 40",oncology,immune checkpoint,Not specified,Yes,bosutinib bosulif.com Prescribing Information,https://www.pfizer.com/seagen,No,,,Yes,pegfilgrastim-apgf nyvepria.com Prescribing Information,https://www.pfizer.com/seagen,Yes,Monoclonal antibody-based therapies for cancer,https://www.linkedin.com/company/seagen,Yes,Antibody-Drug Conjugates (ADCs),https://www.pfizer.com/seagen,No,,,No,,,No,,,No,,,No,,,No,,
cynata therapeutics ltd,"Error: Connection failed - HTTPSConnectionPool(host='au.linkedin.com', port=4",Yes,CYP-004; CYP-001,Disease Name,musculoskeletal diseases; immunology,other,Phase 3; Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,clinical-stage stem cell and regenerative medicine company,https://www.cnbc.com/quotes/CYP,No,,,No,,,Yes,"Cymerus, which is a therapeutic stem cell platform technology",https://www.cnbc.com/quotes/CYP
human immunology biosciences inc,2025-07-03 00:00:00,No,felzartamab; izastobart; HIB210,"CD38, Cluster of Differentiation 38; C5aR1, Complement Component 5a Receptor 1",immunology; rare diseases,cytokine; other,Phase 3; Phase 1,No,,,No,,,No,,,Yes,"felzartamab, a fully human anti-CD38 monoclonal antibody",https://www.goodwinlaw.com/en/news-and-events/news/2024/05/announcements-lifesciences-hi-bio-acquired-by-biogen,No,,,No,,,No,,,No,,,No,,,No,,,No,,
flatley discovery lab,"Error: Connection failed - HTTPSConnectionPool(host='www.whoi.edu', port=443)",Yes,FDL169,"CFTR, Cystic Fibrosis Transmembrane Conductance Regulator",respiratory diseases,enzyme,Phase 1,Yes,discovering small molecules that help restore CFTR protein,https://www.linkedin.com/company/flatleydiscoverylab,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
avid bioservices inc,2024-11-06 00:00:00,Yes,Not specified,Not specified,oncology; respiratory; cell therapy,Not specified,Not specified,No,,,No,,,Yes,"Recombinant Proteins, Enzymes",https://www.linkedin.com/company/avid-bioservices,Yes,"mAbs, Biosimilars",https://www.linkedin.com/company/avid-bioservices,Yes,ADC program from early phase development through commercial manufacturing,https://www.linkedin.com/company/avid-bioservices,No,,,No,,,No,,,No,,,No,,,No,,
dermira inc (inactive),2020-01-10 06:30:00,No,Dupilumab; Tralokinumab; Baricitinib,"IL-4Ra, Interleukin-4 Receptor Alpha; IL-13, Interleukin-13; JAK1/2, Janus Kinase 1/2",immunology; dermatology,cytokine; cytokine; kinases,Approved,No,,,No,,,No,,,Yes,"lebrikizumab, a monoclonal antibody for atopic dermatitis",https://www.foresitecapital.com/portfolio/dermira-copy/,No,,,No,,,No,,,No,,,No,,,No,,,No,,
vertex pharmaceuticals inc,2025-10-16 14:44:21,Yes,VX-993; Journavx,"NaV1.8, Voltage-Gated Sodium Channel Subtype 1.8",pain; diabetes-related chronic nerve pain,ion channels,Phase 2,Yes,bridging medicinal chemistry scale-up with process chemistry to enable the progression of key programs into preclinical and clinical development,https://www.linkedin.com/company/vertex-pharmaceuticals,No,,,No,,,No,,,No,,,No,,,No,,,Yes,advancing cell and genetic therapies,https://www.linkedin.com/company/vertex-pharmaceuticals,No,,,No,,,No,,
palatin technologies inc,2025-05-08 22:20:24,Yes,Not specified,Melanocortin Receptor,retinal diseases,gpcr,Preclinical,Yes,oral small molecule PL7737 MC4R agonist in preclinical studies,https://www.linkedin.com/company/palatin-technologies,Yes,long-acting peptide MC4R agonists,https://www.linkedin.com/company/palatin-technologies,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
first wave biopharma inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
center for study of stem cells,"Error: Connection failed - HTTPSConnectionPool(host='stemcell.nd.edu', port=4",Yes,ANPD001; bemdaneprocel; FT522; FT819; Omisirge; GDA-201; Orca-T,Parkinson's disease; Dopamine-producing neurons; B-cell lymphomas; Hematologic malignancies; Follicular lymphoma; Diffuse large B-cell lymphoma; High grade B-cell lymphoma; Severe aplastic anemia; CD34+ stem cells,neurology; oncology; hematology; immunology,other; cytokine; other; other; other,Phase 1/2a; Phase 2; Phase 1; Phase 3; Approved; Phase 1/2; Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,use of human stem cells in drug discovery,https://www.mskcc.org/research-programs/stem-cell-biology,No,,,No,,,Yes,"induced pluripotency, directed differentiation, genetic modification",https://www.mskcc.org/research-programs/stem-cell-biology
faculty of medicine thammasat university,"Error: Connection failed - HTTPSConnectionPool(host='not%20found', port=443):",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
3sbio inc,"Error: Connection failed - HTTPSConnectionPool(host='www.pfizer.com', port=44",No,SSGJ-707,"PD-1, Programmed Death-1; VEGF, Vascular Endothelial Growth Factor",oncology,immune checkpoint,Phase 3,No,,,No,,,No,,,Yes,bispecific antibody targeting PD-1 and VEGF,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-licensing-agreement-3sbio,No,,,No,,,No,,,No,,,No,,,No,,,No,,
forward pharma as,"Error: Connection failed - HTTPSConnectionPool(host='www.annualreports.com', ",No,Daraxonrasib,"RAS, Rat Sarcoma Protein",oncology,kinases,Phase 3,Yes,proprietary formulation of DMF for the treatment of inflammatory and neurological indications,https://www.linkedin.com/company/forward-pharma-a-s,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
marinomed biotech ag,"Error: Connection failed - HTTPSConnectionPool(host='at.linkedin.com', port=4",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
samsung biologics co ltd,"Error: Connection failed - HTTPSConnectionPool(host='en.wikipedia.org', port=",Yes,Not specified,Not specified,Not specified,Not specified,Preclinical,No,,,No,,,Yes,biologics products,https://www.linkedin.com/company/samsung-biologics,Yes,Ab Cell Purification PD,https://www.linkedin.com/company/samsung-biologics,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Samsung Organoids,https://www.linkedin.com/company/samsung-biologics
bhi therapeutic sciences,2023-03-15 00:00:00,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,Yes,32 human cytokines and growth factors obtained from our own human stem cell cultures,https://www.bluehorizoninternational.com/bhi-therapeutic-sciences/,No,,,No,,,No,,,No,,,Yes,stem cell therapies to patients who may benefit from these treatments,https://www.bluehorizoninternational.com/bhi-therapeutic-sciences/,No,,,No,,,Yes,cancer immunotherapy using the patient’s own expanded dendritic and killer T-cells,https://www.bluehorizoninternational.com/bhi-therapeutic-sciences/
winsantor inc,No timestamp found,No,JOURNAVX; Adezunap; Cebranopadol; Suzetrigine,"NaV1.8, Voltage-Gated Sodium Channel 1.8; CB1, Cannabinoid Receptor 1; NOP, Nociceptin/Orphanin FQ Peptide Receptor; MOP, Mu-Opioid Peptide Receptor",CNS; chronic pain; diabetic neuropathy,ion channels; gpcr; other; other,Phase 3; Phase 3; Phase 2/Phase 3; Phase 3,Yes,discovery and development of treatments for peripheral neuropathies,https://p2pmarketdata.com/companies/winsantor/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
iqure pharma inc,"Error: Connection failed - HTTPSConnectionPool(host='synapse.patsnap.com', po",Yes,iQ-007,"EAAT2, Excitatory Amino Acid Transporter 2",CNS,enzyme,Phase 1,Yes,"iQ-007, a first-in-class, orally available small molecule",https://www.linkedin.com/company/iqurepharma,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
gammacan international inc (inactive),"Error: Connection failed - HTTPSConnectionPool(host='www.biospace.com', port=",No,Not specified,Neoantigens,oncology,immune checkpoint,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
"tularik, inc. (inactive)","Error: Connection failed - HTTPSConnectionPool(host='investors.amgen.com', po",No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,technology meant to treat cancer and inflammation by regulating genes,https://www.nbcnews.com/id/wbna4623678,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
orbsen therapeutics ltd,2017-08-26 00:00:00,Yes,ORBCEL-M,Disease Name,metabolic diseases,Not specified,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"mesenchymal stromal cell immunotherapy, ORBCEL",https://www.labiotech.eu/trends-news/orbsen-therapeutics-interim-diabetic-kidney-disease-study-results/,No,,,No,,,Yes,"stem cell therapy, stem cell isolation, cell therapy",https://ie.linkedin.com/company/orbsen-therapeutics-limited
oncosec medical inc,2023-06-16 00:00:00,Yes,TAVO; Tavokinogene Telseplasmid,"IL-12, Interleukin-12",oncology,cytokine,Phase 2,No,,,No,,,Yes,"interleukin-12 (IL-12), a naturally occurring protein with immune-stimulating functions",https://www.prnewswire.com/news-releases/oncosec-announces-closing-of-1-33-million-registered-direct-offering-priced-at-the-market-under-nasdaq-rules-301829063.html,No,,,No,,,No,,,Yes,DNA-based interleukin-12 (IL-12),https://www.linkedin.com/company/oncosec-medical-inc,No,,,No,,,No,,,Yes,Oncolytic viruses,https://pmc.ncbi.nlm.nih.gov/articles/PMC5084990/
kazia therapeutics ltd,2025-10-08 20:33:53,Yes,GDC-0084; Paxalisib; EVT801,"PI3K, Phosphatidylinositol 3-Kinase; VEGFR3, Vascular Endothelial Growth Factor Receptor 3",oncology; CNS; Parkinson's disease,kinases; other,Phase 3; Phase 1,Yes,small-molecule inhibitor of VEGFR3,https://au.linkedin.com/company/kaziatx,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,PD-L1 protein degrader,https://au.linkedin.com/company/kaziatx,No,,
perseus proteomics inc,2020-12-30 00:00:00,Yes,PPMX-T004; PPMX-T003; PPMX-T002,"CDH3, Cadherin-3; TfR1, Transferrin Receptor 1",oncology; hematology,other; other,Non-clinical; Phase 1/2; Preclinical,No,,,No,,,No,,,Yes,antibody drug discovery utilizing its unique antibody technologies,https://www.ppmx.com/en/,No,,,No,,,No,,,No,,,No,,,No,,,No,,
